source_platform,source_platform_url,data.id,data.desc,data.createTime,data.stats.collectCount,data.stats.commentCount,data.stats.diggCount,data.stats.playCount,data.stats.shareCount,data.author.nickname,data.author.id,data.duetDisplay,data.duetEnabled,data.author.uniqueId,video_url,sentiment_rulebased,voting.topic,engagement_score
tiktok.com,https://www.tiktok.com/@juso_schweiz,7557391049988197635,"MEHRHEIT DER SCHWEIZER*INNEN WILL SUPERREICHE STOPPEN 74% der Bevölkerung sehen Milliardäre als Gefahr für unsere Gesellschaft. 60% haben Angst vor der Klimakrise und dass demokratische Prozesse ausgehöhlt werden. Das zeigt eine neue Umfrage von SRF und gfs.Bern mit rund 55'000 Teilnehmenden. Superreiche zerstören mit ihren Investitionen das Klima und kaufen sich mit den Milliarden daraus politische Macht und Einfluss. Wenn wir unsere Zukunft sichern wollen, müssen wir die Superreichen stopppen. 67% der Befragten wollen grosse Vermögen stärker besteuern. Genau dort setzt die Initiative für eine Zukunft an und liefert damit die richtige Antwort auf die grössten Krisen dieser Zeit. Darum: Am 30. November JA zur Initiative für eine Zukunft!",2025-10-04 15:37:06,5,4,94,1171,1,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7557391049988197635,-1.0,0,-3.0572651242596476
tiktok.com,https://www.tiktok.com/@juso_schweiz,7553770654672162070,"Sie erben Milliarden, und wir? Wir erben die von ihnen verursachten Krisen. Die Bürgerlichen ballern gerade Millionen in eine Angstkampagne gegen die Initiative für eine Zukunft. Und wer profitiert davon? Die bestgeschützteste Minderheit der Schweiz: Die Superreichen. Aber wir sind viele. Mit unserem Crowdfunding legen wir den ersten Stein für die heisseste Phase dieses Abstimmungskampfs. Mit diesem Geld kämpfen wir für nichts weniger als die sozial- und klimagerechte, demokratisierte Zukunft.  Flyer, Plakate, Aktionen, all das kostet. Für eine schlagkräftige Kampagne, brauchen wir das Geld jetzt und nicht erst am 30. November. Das Crowdfunding läuft nur noch 5 Tage! Nur bis am 29. September kannst du noch Teil davon sein, spende bitte jetzt!  Gemeinsam gegen ihre Millarden, für eine lebenswerte Zukunft. Die Uhr tickt!",2025-09-24 21:28:09,5,27,95,1961,2,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7553770654672162070,0.11,0,-2.2066199439344203
tiktok.com,https://www.tiktok.com/@juso_schweiz,7552202232297491734,"Jetzt fürs Crowdfunding für eine Zukunft spenden. Sie erben Milliarden, wir die Krisen. Für die klimagerechte Zukunft (und für Silas)!",2025-09-20 16:01:50,1,1,64,1088,4,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7552202232297491734,-0.35,0,-3.1083064603193677
tiktok.com,https://www.tiktok.com/@juso_schweiz,7551049034052472086,SHIRTDROP! 👕🔥 TAX THE RICH! Link in Bio ✨,2025-09-17 13:26:52,3,2,51,574,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7551049034052472086,0.0,0,-3.5442258704882255
tiktok.com,https://www.tiktok.com/@juso_schweiz,7550971969156435222,"Merci für die bisherige Unterstützung ❤️ Das Crowdfunding braucht jetzt nur noch gut 40‘000 Franken bis Ende September (Neeeeiiin, niemand hat hier Panik…) Falls du paar Fränkli übrig hast, steck sie doch in unsere Kampagne für eine klimagerechte Zukunft ✨ 👉 Link ist in der Bio",2025-09-17 08:27:51,0,1,22,476,1,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7550971969156435222,0.17,0,-3.6777998587947107
tiktok.com,https://www.tiktok.com/@juso_schweiz,7549922414176619798,"Knapp 13‘000 Franken sind bereits fürs Crowdfunding für eine Zukunft zusammengekommen. 🎉 👉Jetzt müssen wir aber nochmal vorwärtsmachen. Was hilft:,💰 Spenden (Link in Bio),📢 Video teilen,🗣️ Weitererzählen Danke❤️ #initiativefüreinezukunft #crowdfunding #fundraisersilas",2025-09-14 12:34:59,0,0,26,479,1,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7549922414176619798,0.18,0,-3.6817101188940953
tiktok.com,https://www.tiktok.com/@juso_schweiz,7537998743933701398,"NEHMT DAS GELD DEN REICHSTEN, GEBT ES DEM KLIMA Wir haben unsere Abstimmungskampagne für die Initiative für eine Zukunft lanciert. Zeit, das wir die Suprreichen stoppen und für ihre Kliaverrechen zur Verantwortung ziehen. Am 30. November JA zur Initiative für eine Zukunft!",2025-08-13 09:25:05,5,19,156,2107,16,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7537998743933701398,0.13,0,-1.1080006481851914
tiktok.com,https://www.tiktok.com/@juso_schweiz,7537314346565766422,Help Silas: Jetzt Crowdfunding unterstützen. (Link in Bio❤️) #juso #schweiz #fyp #politics #climate #crowdfunding #politik #taxtherich ,2025-08-11 13:09:16,1,2,66,1273,3,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7537314346565766422,0.0,0,-3.0959063915238763
tiktok.com,https://www.tiktok.com/@juso_schweiz,7525954109594406166,"In Eschenbach sollte eine junge Lehrerin ihre Stelle antreten: fachlich geeignet, engagiert, bereit Weihnachten zu feiern. Aber sie trägt Kopftuch. Was passiert? Eltern beschweren sich, die Schule knickt ein. Jetzt will die SVP Kanton St. Gallen diesen Einzelfall ausnutzen und ein gesetzliches Kopftuchverbot für Lehrerinnen einführen. Und sie nennen das ‚Neutralität‘. Aber wir müssen ehrlich sein: Das ist keine Neutralität. Das ist Diskriminierung mit Ansage. Das ist antimuslimischer Rassismus. Kein Platz für Kopftuchverbote. Kein Platz für Diskriminierung. Punkt",2025-07-11 22:25:46,102,502,1593,31100,114,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7525954109594406166,0.76,0,32.362427880697375
tiktok.com,https://www.tiktok.com/@juso_schweiz,7525209959538101526,"NIEMAND WILL DEINE AUTOBAHNEN RÖSTI Im letzten Herbst hat die Schweizer Stimmbevölkerung einen Autobahnausbau abgelehnt. Auf einer gestrigen Bergwanderung mit Medienschaffenden hat jetzt Albert aber kommuniziert, dass er die abgelehnten Projekte nochmals prüfen lassen will. Es gibt nichts mehr zu prüfen. Sie wurden abgelehnt. Auch ein Bundesrat muss sich der Demokratie beugen.",2025-07-09 22:18:03,0,0,24,866,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7525209959538101526,-1.0,0,-3.6679238616216723
tiktok.com,https://www.tiktok.com/@juso_schweiz,7523192612455533846,"Zum 4. Juli, dem Unabhängigkeitstag der USA haben wir der US-Botschaft einen kurzen Besuch abgestattet. ",2025-07-04 11:49:42,1,2,56,1161,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7523192612455533846,-0.0,0,-3.3783400153345378
tiktok.com,https://www.tiktok.com/@juso_schweiz,7522406884159114518,Heute beginnt die Fussball EM⚽️💜 Unterschreibe jetzt unsere Petition für konkrete Verbesserungen im Frauensport.  Mit unseren Stickern kannst du uns zudem helfen die Petition zu verbreiten. Link in Bio,2025-07-02 09:00:43,18,83,326,12200,129,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7522406884159114518,0.38,0,11.482641507590273
tiktok.com,https://www.tiktok.com/@juso_schweiz,7522113901589269782,Am 30. November 2025 kommt die Initiative für eine Zukunft zur Abstimmung. tax the rich,2025-07-01 14:03:47,1,1,30,544,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7522113901589269782,0.0,0,-3.687342689418716
tiktok.com,https://www.tiktok.com/@juso_schweiz,7513121227863608598,Ständerat looking @ you! Sagt je zur Initiative für eine Zukunft!,2025-06-07 08:27:39,0,8,85,2149,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7513121227863608598,0.0,0,-2.8371292364525287
tiktok.com,https://www.tiktok.com/@juso_schweiz,7507406713239145750,"Unsere Generation verliert den Halt. Und nein, das ist kein Gefühl – das ist FAKT! Eine neue internationale Studie bestätigt, was wir längst spüren: Unsere mentale Gesundheit ist AM LIMIT. Seit 2015 explodiert die Zahl der Betroffenheit von psychischen Leiden bei jungen Menschen weltweit. Warum? Weil wir im Dauer-Krisenmodus leben: 👉Klimakatastrophe, die unsere Zukunft bedroht (84% der Jugendlichen haben zurecht Angst) 👉Soziale Ungleichheit, die sich verschärft Während sich die Krisen türmen, werden wir im Stich gelassen. Die Antwort der Reichen und Mächtigen? Statt Unterstützung servieren sie uns Leistungs- und Konkurrenzdruck. Statt Sicherheit gibts prekäre Jobs. Das ist keine Nachlässigkeit, das ist politische VERWEIGERUNG! Sie zünden zurzeit munter unser aller Zukunft an. Wir sagen klar: Das ist kein Fehler im Sytsem. Das System ist der Fehler. Achtsamkeitskurse reichen nicht! Wenn wir die Ängste dieser Generation auffangen und auflösen wollen, müssen wir das Problem an der Wurzel bekämpfen. Wir brauchen: 👉Richtigen Klimaschutz – SOFORT! 👉Rückverteilung vom Vermögen der Reichsten! 👉Echte politische Mitsprache für UNS! Die Initiative für eine Zukunft ist eine solidarische, mutige und ernsthafte Antwort auf diese fatalen Zustände. Wir fordern, was längst überfällig ist: Klimagerechtigkeit, Investitionen in unsere Sicherheit und eine echte Stimme für die, die diese Zukunft gestalten (und ertragen) müssen. #juso  #SystemChangeNOW #MentaleGesundheit #Klimagerechtigkeit ",2025-05-22 22:52:24,1,2,27,1307,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7507406713239145750,-1.0,1,-3.49598976752169
tiktok.com,https://www.tiktok.com/@juso_schweiz,7507406308803448086,"Setzen wir ein Zeichen für Menschlichkeit! Kommt an die Kundgebung in Schwyz! Wo: Hofmattplatz, Schwyz (bei Bushaltestelle Schwyz Zentrum) Wann: Samstag, 14:00 Uhr Die Kundgebung ist bewilligt",2025-05-22 22:50:52,2,2,53,1261,0,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7507406308803448086,0.0,0,-3.370318560611774
tiktok.com,https://www.tiktok.com/@juso_schweiz,7498104190871391510,ou nein! ,2025-04-27 21:13:49,10,30,179,8710,12,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7498104190871391510,0.0,0,0.5943796527434122
tiktok.com,https://www.tiktok.com/@juso_schweiz,7498103811446246678,"Do something about it: Werde JUSO-Mitglied! Superreiche jammern in der SRF-Rundschau rum, dass alle nur neidisch auf ihr Geld seien und dass sie die Milliarden wiiirklich verdient haben und sicher nichts davon den Menschen, die dieses Geld eigentlich erarbeitet haben zurückgeben sollten...",2025-04-27 21:12:22,14,33,349,6387,9,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7498103811446246678,0.16,1,0.808771992881292
tiktok.com,https://www.tiktok.com/@juso_schweiz,7485695016384433430,"Sie rauben unsere Zukunft und die Bürgerlichen reichen die Hand: Superreiche stoppen! Es liegt an uns, für eine ökologische und gerechte Zukunft zu kämpfen. #srfarena #initiativefüreinezukunft #juso ",2025-03-25 10:39:59,14,54,298,9743,14,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7485695016384433430,-0.76,0,2.2162209872919574
tiktok.com,https://www.tiktok.com/@juso_schweiz,7485366588032470294,Sandro Broastz stellt die richtigen Fragen. #initiativefüreinezukunft #srfarena #juso ,2025-03-24 13:25:26,25,26,426,5117,27,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7485366588032470294,0.0,0,1.9513171354705472
tiktok.com,https://www.tiktok.com/@juso_schweiz,7483492981543144726,"Solange es Superreiche gibt, wird es die Klimakrise geben. #initiativefuereinezukunft ",2025-03-19 12:14:52,2,5,71,1609,2,JUSO Schweiz,6979961727183045638,0,,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7483492981543144726,0.0,0,-2.980546931561492
tiktok.com,https://www.tiktok.com/@juso_schweiz,7483445175843360022,Düe bürgerlichen Handlanger*innen der Klimaverbrecher haben gestern gegen unsere Initiative gestimmt. #erbschaftssteuer #fuersKlima #Initiativefuereinezukunft,2025-03-19 09:09:22,9,53,215,5663,12,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7483445175843360022,0.0,0,0.6485682812710181
tiktok.com,https://www.tiktok.com/@juso_schweiz,7482724059676019990,Erben für alle. #Initiativefuereinezukunft #gruenech #erbschaftssteuer,2025-03-17 10:31:12,2,9,61,1267,4,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7482724059676019990,0.01,0,-2.876367140014212
tiktok.com,https://www.tiktok.com/@juso_schweiz,7482296377440029974,Radikal und anmassend und obszön #schweizerpolitik #sp #juso #initiativefuereinezukunft ,2025-03-16 06:51:39,20,94,246,4889,16,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7482296377440029974,-0.49,0,1.949645503412694
tiktok.com,https://www.tiktok.com/@juso_schweiz,7480600227330739478,Kein Eigentum kam zu Schaden beim Erstellen dieses Videos. #fdp #juso #initiativefuereinezukunft ,2025-03-11 17:09:30,9,15,145,2009,2,JUSO Schweiz,6979961727183045638,0,True,juso_schweiz,https://www.tiktok.com/@juso_schweiz/video/7480600227330739478,-0.53,0,-2.240180322422433
